#OTU_ID	SAKR1	SAKR2
OTU_1257	8	14
OTU_2708	1	2
OTU_372	7	15
OTU_89018	0	2
OTU_2703	0	0
OTU_37744	0	5
OTU_15172	0	0
OTU_85758	1	0
OTU_1053	0	3
OTU_2050	0	0
OTU_62538	1	3
OTU_170	7	9
OTU_2880	0	0
OTU_45593	0	0
OTU_3212	13	17
OTU_41987	1	5
OTU_48488	0	0
OTU_1169	1	0
OTU_25915	28	27
OTU_52333	0	0
OTU_725	1	1
OTU_643	0	1
OTU_1654	0	0
OTU_43325	1	0
OTU_385	0	0
OTU_3047	0	0
OTU_882	4	16
OTU_9796	25	40
OTU_66574	10	13
OTU_444	6	2
OTU_365	0	0
OTU_274	58	74
OTU_663	0	0
OTU_728	2	3
OTU_261	12	36
OTU_29362	0	0
OTU_78499	0	0
OTU_2187	5	1
OTU_1914	0	0
OTU_84134	0	0
OTU_1092	0	0
OTU_8500	0	0
OTU_22499	0	0
OTU_5382	0	0
OTU_598	0	0
OTU_58659	0	0
OTU_49487	1	2
OTU_7133	0	0
OTU_72764	0	0
OTU_554	3	2
OTU_169	0	0
OTU_61813	3	10
OTU_649	34	17
OTU_371	6	6
OTU_53664	2	1
OTU_14562	0	0
OTU_42357	0	1
OTU_1935	0	0
OTU_238	49	67
OTU_613	0	0
OTU_66096	0	0
OTU_59534	0	0
OTU_645	0	1
OTU_797	27	34
OTU_60286	1	0
OTU_639	0	1
OTU_47644	0	0
OTU_556	0	0
OTU_56340	4	3
OTU_406	10	10
OTU_4359	0	0
OTU_709	0	0
OTU_2427	0	0
OTU_2775	0	0
OTU_2001	5	16
OTU_730	0	0
OTU_19372	0	0
OTU_34652	0	0
OTU_3786	0	0
OTU_15986	0	0
OTU_61072	0	0
OTU_808	3	4
OTU_47689	0	0
OTU_42021	1	1
OTU_25128	0	0
OTU_35881	0	0
OTU_63	8	18
OTU_17122	0	0
OTU_1320	0	0
OTU_16434	0	0
OTU_2005	2	4
OTU_217	8	4
OTU_32341	15	6
OTU_1026	0	0
OTU_3720	2	5
OTU_29847	0	0
OTU_39664	1	0
OTU_78491	0	0
OTU_36220	3	9
OTU_82810	0	0
OTU_1696	0	0
OTU_56939	4	6
OTU_1041	14	15
OTU_58799	0	0
OTU_2325	0	0
OTU_721	0	0
OTU_1164	0	0
OTU_56325	12	21
OTU_145	81	74
OTU_835	15	29
OTU_1295	7	9
OTU_767	5	3
OTU_2956	0	0
OTU_434	0	0
OTU_1461	0	0
OTU_77140	1	0
OTU_90252	2	1
OTU_89354	1	2
OTU_842	1	0
OTU_7884	0	0
OTU_36287	0	0
OTU_1285	5	2
OTU_2531	0	0
OTU_1848	40	85
OTU_2377	0	0
OTU_2072	5	2
OTU_2773	3	4
OTU_936	0	0
OTU_407	0	1
OTU_68860	1	0
OTU_43029	2	4
OTU_1096	0	0
OTU_1316	1	0
OTU_92871	0	0
OTU_2640	0	2
OTU_1850	0	0
OTU_49677	0	0
OTU_2341	14	23
OTU_4634	3	6
OTU_2771	1	0
OTU_6821	0	0
OTU_501	25	43
OTU_4973	0	0
OTU_3832	1	0
OTU_324	14	19
OTU_6577	0	0
OTU_50452	39	59
OTU_63714	0	0
OTU_5719	0	0
OTU_1972	8	3
OTU_21776	2	3
OTU_19301	0	0
OTU_4803	1	1
OTU_51215	0	0
OTU_90809	1	1
OTU_50015	0	0
OTU_771	4	7
OTU_1222	0	0
OTU_1388	0	2
OTU_94	0	0
OTU_482	0	0
OTU_118	0	0
OTU_28611	0	0
OTU_997	0	3
OTU_244	0	0
OTU_753	16	29
OTU_61767	0	0
OTU_533	1	0
OTU_56281	8	1
OTU_6183	0	3
OTU_73050	0	0
OTU_5138	0	0
OTU_43677	1	7
OTU_1147	1	0
OTU_3166	1	0
OTU_321	10	13
OTU_4000	0	0
OTU_42685	0	0
OTU_7626	0	0
OTU_671	1	0
OTU_1610	0	1
OTU_1550	0	0
OTU_19527	0	0
OTU_61265	0	0
OTU_24268	0	0
OTU_50823	0	0
OTU_12830	13	11
OTU_6557	0	0
OTU_3304	0	0
OTU_2915	3	5
OTU_40093	0	0
OTU_332	0	1
OTU_11862	0	0
OTU_192	2	1
OTU_45363	0	0
OTU_1072	2	9
OTU_77771	0	0
OTU_1083	2	1
OTU_1180	1	0
OTU_43217	5	11
OTU_741	4	10
OTU_1780	0	0
OTU_75018	0	0
OTU_59708	2	0
OTU_982	7	10
OTU_1361	0	0
OTU_2087	0	1
OTU_2061	0	0
OTU_2259	1	0
OTU_70986	0	0
OTU_202	14	32
OTU_45789	0	0
OTU_69248	0	0
OTU_1357	0	0
OTU_1382	3	2
OTU_5386	0	0
OTU_72797	0	0
OTU_72083	0	0
OTU_329	86	152
OTU_55	0	2
OTU_52628	0	0
OTU_681	0	0
OTU_37294	18	36
OTU_2297	3	6
OTU_2410	1	0
OTU_39	774	925
OTU_4113	0	0
OTU_82495	1	3
OTU_62078	0	0
OTU_1276	1	2
OTU_1089	0	0
OTU_67519	0	0
OTU_4387	3	9
OTU_1270	12	10
OTU_1397	0	4
OTU_123	42	72
OTU_228	26	46
OTU_1658	3	5
OTU_31007	0	0
OTU_939	0	0
OTU_451	0	0
OTU_40786	0	0
OTU_2353	3	3
OTU_1854	0	0
OTU_1202	11	34
OTU_22966	0	0
OTU_51110	0	0
OTU_53074	0	0
OTU_82489	0	0
OTU_69737	0	0
OTU_2380	0	1
OTU_59741	0	0
OTU_2811	0	0
OTU_1741	0	0
OTU_17773	0	0
OTU_37370	0	0
OTU_27320	1	0
OTU_93	10	19
OTU_70040	0	1
OTU_723	0	0
OTU_13997	1	2
OTU_7307	0	0
OTU_95241	1	1
OTU_4072	0	0
OTU_5388	0	0
OTU_1380	0	0
OTU_363	9	12
OTU_2946	0	0
OTU_58036	0	0
OTU_605	0	0
OTU_77111	0	0
OTU_312	3	6
OTU_396	73	113
OTU_409	0	0
OTU_772	0	0
OTU_24195	3	2
OTU_880	10	7
OTU_515	3	14
OTU_47267	0	0
OTU_2461	0	0
OTU_331	33	51
OTU_75916	0	0
OTU_65864	0	0
OTU_3927	0	0
OTU_37283	0	2
OTU_1131	0	1
OTU_49816	0	0
OTU_796	0	0
OTU_29637	24	36
OTU_53286	0	0
OTU_157	7	2
OTU_193	0	1
OTU_67380	0	0
OTU_96553	7	9
OTU_22261	0	0
OTU_262	2	0
OTU_344	0	0
OTU_487	3	4
OTU_92	51	65
OTU_904	0	0
OTU_3262	0	0
OTU_19214	1	1
OTU_883	19	17
OTU_6326	5	9
OTU_1149	0	0
OTU_166	3	1
OTU_216	233	366
OTU_9305	2	0
OTU_3488	0	0
OTU_878	0	0
OTU_743	0	0
OTU_1044	0	1
OTU_3049	8	12
OTU_14446	0	0
OTU_2784	0	1
OTU_7162	0	0
OTU_1841	25	39
OTU_49522	1	0
OTU_12919	0	0
OTU_2290	3	4
OTU_79089	0	0
OTU_36533	5	4
OTU_1457	12	21
OTU_858	6	4
OTU_14629	0	2
OTU_1682	23	39
OTU_4157	0	0
OTU_1918	0	0
OTU_522	17	29
OTU_45851	0	0
OTU_29	44	57
OTU_7254	5	9
OTU_36815	0	0
OTU_128	78	106
OTU_13865	0	0
OTU_121	0	1
OTU_1394	0	0
OTU_5328	0	0
OTU_11390	0	0
OTU_1160	3	2
OTU_2161	29	45
OTU_6125	0	0
OTU_294	13	7
OTU_5128	0	0
OTU_176	43	47
OTU_380	10	9
OTU_51520	0	0
OTU_867	2	1
OTU_91666	7	1
OTU_57904	2	6
OTU_88083	0	0
OTU_12294	8	6
OTU_384	26	35
OTU_5160	0	2
OTU_24532	8	14
OTU_2364	4	3
OTU_16950	0	0
OTU_1821	0	0
OTU_3857	0	0
OTU_8283	0	0
OTU_1086	4	11
OTU_513	201	232
OTU_21631	0	0
OTU_26678	0	0
OTU_22796	0	0
OTU_199	1	1
OTU_56230	0	0
OTU_36	0	0
OTU_32849	0	1
OTU_25193	0	0
OTU_1401	0	0
OTU_198	2	3
OTU_5864	0	0
OTU_381	41	57
OTU_3997	0	0
OTU_138	44	71
OTU_91876	0	0
OTU_393	6	26
OTU_7161	0	0
OTU_712	6	5
OTU_1801	10	23
OTU_13653	0	0
OTU_628	2	13
OTU_35723	1	2
OTU_3736	0	0
OTU_40835	0	0
OTU_6094	1	0
OTU_67972	0	1
OTU_665	4	5
OTU_54661	0	0
OTU_6663	0	0
OTU_892	0	0
OTU_3524	0	0
OTU_60306	0	0
OTU_8477	0	0
OTU_3886	0	0
OTU_10470	0	0
OTU_8912	0	0
OTU_30351	0	0
OTU_1760	11	14
OTU_4003	4	7
OTU_69935	0	2
OTU_28410	0	0
OTU_14185	0	0
OTU_5251	0	0
OTU_3040	1	3
OTU_83436	0	0
OTU_9171	0	0
OTU_85185	5	10
OTU_1290	0	3
OTU_437	0	0
OTU_427	5	12
OTU_1213	0	0
OTU_356	2	3
OTU_5246	0	0
OTU_68042	0	0
OTU_4188	0	0
OTU_388	1	0
OTU_313	7	18
OTU_6117	1	0
OTU_679	0	0
OTU_73392	0	0
OTU_4723	0	0
OTU_9020	0	0
OTU_94038	0	0
OTU_75605	4	2
OTU_1448	0	0
OTU_579	0	0
OTU_38194	0	0
OTU_31613	0	0
OTU_2626	77	117
OTU_56833	0	0
OTU_971	7	7
OTU_2694	0	0
OTU_921	0	0
OTU_4221	0	0
OTU_36791	0	0
OTU_8577	0	0
OTU_106	0	0
OTU_51714	1	0
OTU_87264	6	4
OTU_5484	0	0
OTU_608	6	16
OTU_473	2	1
OTU_320	0	0
OTU_133	24	21
OTU_59720	3	3
OTU_788	1	1
OTU_53057	0	0
OTU_3309	4	3
